Method: Grid Sampling | Distance: 6.00 | Density: 0.900 | UniformStep: 2 | GridSize: 2 | DistanceSpacing: 1.778 | Points: 116480 / 465920 (25.00%) | Reduction: 75.00% | FPS: 59.8 | Frame: 16.73 ms | CPU: 10.20 ms | Cloud: 4.00 MB | Effective LOD: 1.00 MB | RAM: 88.57 MB | Draw calls: 1 | Throughput: 6.96 M pts/s
Method: Grid Sampling | Distance: 3.00 | Density: 1.000 | UniformStep: 1 | GridSize: 1 | DistanceSpacing: 1.000 | Points: 465920 / 465920 (100.00%) | Reduction: 0.00% | FPS: 34.2 | Frame: 29.28 ms | CPU: 24.42 ms | Cloud: 4.00 MB | Effective LOD: 4.00 MB | RAM: 118.48 MB | Draw calls: 1 | Throughput: 15.91 M pts/s
Method: Grid Sampling | Distance: 3.20 | Density: 0.993 | UniformStep: 1 | GridSize: 1 | DistanceSpacing: 1.052 | Points: 465920 / 465920 (100.00%) | Reduction: 0.00% | FPS: 33.7 | Frame: 29.69 ms | CPU: 25.00 ms | Cloud: 4.00 MB | Effective LOD: 4.00 MB | RAM: 118.48 MB | Draw calls: 1 | Throughput: 15.69 M pts/s
Method: Grid Sampling | Distance: 5.90 | Density: 0.903 | UniformStep: 2 | GridSize: 2 | DistanceSpacing: 1.752 | Points: 116480 / 465920 (25.00%) | Reduction: 75.00% | FPS: 31.6 | Frame: 31.66 ms | CPU: 10.35 ms | Cloud: 4.00 MB | Effective LOD: 1.00 MB | RAM: 110.48 MB | Draw calls: 1 | Throughput: 3.68 M pts/s
Method: Grid Sampling | Distance: 5.90 | Density: 0.903 | UniformStep: 2 | GridSize: 2 | DistanceSpacing: 1.752 | Points: 116480 / 465920 (25.00%) | Reduction: 75.00% | FPS: 60.0 | Frame: 16.67 ms | CPU: 10.43 ms | Cloud: 4.00 MB | Effective LOD: 1.00 MB | RAM: 110.48 MB | Draw calls: 1 | Throughput: 6.99 M pts/s
Method: Grid Sampling | Distance: 5.90 | Density: 0.903 | UniformStep: 2 | GridSize: 2 | DistanceSpacing: 1.752 | Points: 116480 / 465920 (25.00%) | Reduction: 75.00% | FPS: 60.1 | Frame: 16.64 ms | CPU: 10.44 ms | Cloud: 4.00 MB | Effective LOD: 1.00 MB | RAM: 110.48 MB | Draw calls: 1 | Throughput: 7.00 M pts/s
Method: Grid Sampling | Distance: 5.80 | Density: 0.907 | UniformStep: 2 | GridSize: 2 | DistanceSpacing: 1.726 | Points: 116480 / 465920 (25.00%) | Reduction: 75.00% | FPS: 60.0 | Frame: 16.68 ms | CPU: 9.78 ms | Cloud: 4.00 MB | Effective LOD: 1.00 MB | RAM: 110.48 MB | Draw calls: 1 | Throughput: 6.98 M pts/s
Method: Grid Sampling | Distance: 4.90 | Density: 0.937 | UniformStep: 2 | GridSize: 1 | DistanceSpacing: 1.493 | Points: 465920 / 465920 (100.00%) | Reduction: 0.00% | FPS: 60.0 | Frame: 16.66 ms | CPU: 24.55 ms | Cloud: 4.00 MB | Effective LOD: 4.00 MB | RAM: 110.48 MB | Draw calls: 1 | Throughput: 27.97 M pts/s
Method: Grid Sampling | Distance: 5.80 | Density: 0.907 | UniformStep: 2 | GridSize: 2 | DistanceSpacing: 1.726 | Points: 116480 / 465920 (25.00%) | Reduction: 75.00% | FPS: 54.0 | Frame: 18.52 ms | CPU: 10.17 ms | Cloud: 4.00 MB | Effective LOD: 1.00 MB | RAM: 110.48 MB | Draw calls: 1 | Throughput: 6.29 M pts/s
Method: Grid Sampling | Distance: 7.10 | Density: 0.863 | UniformStep: 2 | GridSize: 2 | DistanceSpacing: 2.063 | Points: 116480 / 465920 (25.00%) | Reduction: 75.00% | FPS: 60.0 | Frame: 16.67 ms | CPU: 10.20 ms | Cloud: 4.00 MB | Effective LOD: 1.00 MB | RAM: 110.48 MB | Draw calls: 1 | Throughput: 6.99 M pts/s
Method: Grid Sampling | Distance: 7.10 | Density: 0.863 | UniformStep: 2 | GridSize: 2 | DistanceSpacing: 2.063 | Points: 116480 / 465920 (25.00%) | Reduction: 75.00% | FPS: 60.1 | Frame: 16.65 ms | CPU: 9.74 ms | Cloud: 4.00 MB | Effective LOD: 1.00 MB | RAM: 110.48 MB | Draw calls: 1 | Throughput: 7.00 M pts/s
Method: Grid Sampling | Distance: 7.10 | Density: 0.863 | UniformStep: 2 | GridSize: 2 | DistanceSpacing: 2.063 | Points: 116480 / 465920 (25.00%) | Reduction: 75.00% | FPS: 60.0 | Frame: 16.68 ms | CPU: 10.01 ms | Cloud: 4.00 MB | Effective LOD: 1.00 MB | RAM: 110.48 MB | Draw calls: 1 | Throughput: 6.98 M pts/s
